Egzersiz_Adi,Kategori,Ekipman,Aciklama
Bear Walk 2,Chest,none (bodyweight exercise),"-Ağırlığınızı avuç içlerinize ve ayak parmaklarınızın uçlarına verin, normal şınav pozisyonuna benzer şekilde.

-Sağ avucunuz ve sol ayağınızla, sonra sol avucunuz ve sağ ayağınızla adım atarak hareket edin. Temel olarak, ağır adımlarla yürüyen bir ayı gibi yürüyün.

-Mümkün olduğunca hızlı hareket edin. Tekrarlarınızı/setlerinizi mesafe (örneğin 40 yarda) veya süre (örneğin 45 saniye) olarak ölçün.

-Göğüs kaslarınızı, omuz kaslarınızı, trisepslerinizi, trapez kaslarınızı, sırt kaslarınızı, karın kaslarınızı ve bel kaslarınızı, kalça bükücü kaslarınızı, uyluk kaslarınızı, kalça kaslarınızı ve baldır kaslarınızı çalıştırır."
one-handed kettlebell curls,Arms,Kettlebell,Bir elinizde kettlebell ile dirseğinizi bükerek ayakta durun ve eliniz omuz hizasına gelene kadar tamamen uzatılmış pozisyondan başlayın. Hareketi doğru bir şekilde yapmak için sırtınızla veya vücudunuzla itmemeye çalışın.
Medicine ball booklet crunch,Abs,none (bodyweight exercise),"Egzersiz topunu ağırlık artırıcı olarak kullanmak, egzersizi daha ağır hale getirecektir."
Box squat,Abs,none (bodyweight exercise),"1. **Kutuyu kurun:** Kutuyu arkanıza, eğer halter kullanıyorsanız squat sehpasına yaklaşık 1 metre mesafeye yerleştirin. Sırtınız düzken çömelmenize ve kalçalarınızı kutuya hafifçe değdirmenize olanak tanıyan bir yükseklik seçin.

2. **Doğru duruş:** Ayaklarınız omuz genişliğinde açık, ayak parmaklarınız hafifçe dışa dönük şekilde durun. Karın kaslarınızı sıkın ve sırtınızı düz tutun. Halter kullanıyorsanız, omuz hizasına yerleştirin.

3. **Aşağı inin:** Bir sandalyeye oturacakmış gibi geriye doğru oturun, dizlerinizi bükün ve kalçalarınızı kutuya doğru indirin. Hareket boyunca karın kaslarınızı sıkı ve sırtınızı düz tutun.

4. **Kontrollü iniş:** Kalçalarınız kutuya hafifçe değene kadar kontrollü bir şekilde inin. Ani bir şekilde yere yığılmayın.

5. **Duraklayın ve yukarı doğru itin:** Sırtınız düz ve karın kaslarınız sıkı bir şekilde, en alt noktada kısa bir süre duraklayın. Ardından, topuklarınızdan güç alarak kendinizi başlangıç ​​pozisyonuna geri çekin.

Koordinasyon, denge ve dayanıklılıkta iyileşme, bacak ve kalça kaslarında sıkılaşma ve genel olarak kemik yoğunluğunda artış sağlayarak osteoporoz riskini ortadan kaldırır."
Knee Raises,Abs,Pull-up bar,"Barfiks çubuğu üzerinde 90° bacak kaldırma hareketi, karın kaslarının tamamını çalıştıran oldukça yoğun bir egzersizdir."
Sloper hanging,Arms,none (bodyweight exercise),Parmak tahtasının eğimli tutamaklarına birkaç saniye boyunca asılı kalmak
Barbell Ab Rollout,Abs,Barbell,"Barbell'i ayaklarınızın dibine yere koyun.

Belinizden bükülerek, barbell'i omuz hizasında üstten kavrama ile tutun.

Yavaş ve kontrollü bir hareketle, sırtınız düz olacak şekilde barı öne doğru yuvarlayın.

Başlangıç ​​pozisyonuna dönerken kalçalarınızı ve poponuzu yukarı kaldırarak tekrar yukarı doğru yuvarlanın."
Elliptical,Cardio,none (bodyweight exercise),"Kas tonusunu iyileştirir, bacak kaslarını (kuadriseps, gluteus, baldır) güçlendirir, damarlanmayı artırır ve direnci yükseltir. Eliptik bisiklet ayrıca kilo vermek isteyenler için de çok faydalıdır."
High knees,Cardio,none (bodyweight exercise),"Başlangıç ​​pozisyonu: Dik durun.

Adımlar:

1. Dizlerinizi rahat edebileceğiniz kadar yukarı çekerek ve hızlı bir tempoda bacak değiştirerek yerinizde koşun."
Pullup on fingerboard,Arms,none (bodyweight exercise),Parmak tahtasının/tırmanma tahtasının seçilen bir kenarından yukarı çekme hareketi yapın.
Push-up rotations,Arms,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Başlangıç ​​şınav pozisyonuna geçin; elleriniz ve ayak parmaklarınız yere ve sırtınıza değsin, kollarınız ve bacaklarınız düz olsun. Bu pozisyona geçmek için yüzüstü yatabilir, ellerinizi başınızın yanına, aşağıya bakacak şekilde koyabilir ve kollarınızı düz olana kadar yukarı kaldırabilirsiniz.

Adımlar:

1. Standart bir şınav çekin:

1.a Göğsünüz neredeyse yere değene kadar kollarınızı bükün, sırtınızın düz olduğundan emin olun. 1.b Kollarınızı kullanarak kendinizi başlangıç ​​pozisyonuna geri kaldırın.

2. Sırtınız düz olacak şekilde, vücudu destekleyen alt eliniz tamamen uzatılmış ve sadece alt eliniz ve ayağınız yere değecek şekilde vücudunuzu yana doğru döndürün.

3. Her seferinde 2. adımda taraf değiştirerek tekrarlayın."
Kneeling kickbacks,Legs,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Dört ayak üzerine çökün.

Adımlar:

1. Kalça kaslarına odaklanarak bir ayağınızı tamamen geriye doğru itin.

2. Bir saniye bekleyin, ardından başlangıç ​​pozisyonuna dönün.

3. Ayakları değiştirerek tekrarlayın."
Reverse Nordic Curl,Legs,Vücut Ağırlığı,"Doğal Bacak Uzatma, ekipman gerektirmeyen, Bacak Uzatma makinesine alternatif bir yöntemdir."
Straight Bar Cable Curls,Arms,Vücut Ağırlığı,Kablo kulesinin önünde düz bir çubuk kullanarak dik durmak.
Cable Fly,Chest,Vücut Ağırlığı,"kablo makinesi, iki adım ileri, düz geri"
Jump rope: basic jumps,Cardio,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Ayaklarınızı birbirine yakın koyun, dizlerinizi biraz bükün, başınızı ve vücudunuzu düz tutun, dirseklerinizi içeri çekin, kollarınızı açın.

Adımlar:

1. Sadece bileklerinizi, ipi döndürecek kadar kuvvetle çevirin.

2. İpin ayaklarınızın altından geçeceği kadar yükseğe zıplayın.

3. Tekrarlayın.

Notlar:

Bu egzersiz için bir atlama ipi gereklidir. İpin uzunluğunun boyunuza uygun olduğundan emin olun. Bunu kontrol etmenin bir yolu, her iki tutamağı bir elinizle tutmak ve bir ayağınızla yere asılı ipin ortasına basmaktır. İp (tutamaklar hariç) göğsünüzün hemen altına ulaşıyorsa, uzunluğu doğrudur. Daha kısa bir ip tehlikeli olur, çünkü kendinize vurabilirsiniz ve daha uzun bir ip de kötü bir duruşa neden olur."
TRX Rows,Abs,none (bodyweight exercise),"Bu egzersiz, barfiks çekmeye hazırlık niteliğindedir."
Leg raises pull up bar,Abs,Pull-up bar,"Her iki elinizle barı sıkıca kavrayarak, uzattığınız bacaklarınızı gövdenizle 90°'lik bir açı oluşturana kadar yukarı kaldırın."
Mountain climbers,Chest,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Dik şınav pozisyonunda, yani yüksek plank pozisyonunda başlayın. Elleriniz omuzlarınızın hemen altında olmalı. Başınız sırtınızla aynı hizada, yere bakacak şekilde olmalı. Ayaklarınız kalça genişliğinde açık olmalı.

Adımlar:

1. Bir dizinizi vücudunuzun merkezine, dirseklerinize doğru hareket ettirin, diğer bacağınızı uzatılmış halde tutun.

2. Hızlı bir sıçrama hareketiyle, bükülmüş bacağınızı düzleştirin ve diğer dizinizi vücudunuza doğru çekin.

3. 2. adımı tekrarlayın, bacaklarınızı sırayla değiştirin.

Notlar:

Egzersiz boyunca sırtınız mümkün olduğunca düz kalmalıdır – kambur veya sarkık bir sırttan kaçının."
4-count burpees,Chest,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Dik durun, ayaklarınızı kalça genişliğinde açın.

Adımlar:

1. Dizlerinizin arasına ve ayaklarınızın önüne ellerinizi koyarak yere çömelin, sırtınız düz olsun.

2. Ellerinizi yerde tutarak bacaklarınızı geriye doğru sıçratarak yüksek plank pozisyonuna geçin.

3. Ayaklarınızı öne doğru sıçratarak çömelme pozisyonuna geri dönün.

4. Tekrarlayın."
No push-up burpees,Chest,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Dik durun, ayaklarınızı kalça genişliğinde açın.

Adımlar:

1. Dizlerinizin arasına ve ayaklarınızın önüne ellerinizi koyarak yere çömelin, sırtınız düz olsun.

2. Ellerinizi yerde tutarak bacaklarınızı geriye doğru sıçratarak yüksek plank pozisyonuna geçin.

3. Çömelme pozisyonuna geri dönmek için ayaklarınızı öne doğru sıçratın.

4. Yukarı sıçrayın.

5. Tekrarlayın."
Floor dips,Arms,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Kollarınızı arkanıza koyarak sırtınızı destekleyin. Parmaklarınız öne doğru bakmalı. Dizleriniz bükülü, ayaklarınız bitişik olmalı.

Adımlar:

1. Kalçalarınızı yerden kaldırın, kollarınızı düzleştirin.

2. Dirseklerinizi bükerek kalçalarınızı aşağı indirin.

3. Kollarınızı düzleştirerek önceki pozisyona dönün.

4. 2. ve 3. adımları tekrarlayın.

Notlar:

Egzersizin zorluğu, kalçalarınızı ne kadar yukarı kaldırdığınıza bağlıdır."
Child's pose,Back,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Dört ayak üzerinde, dizleriniz, ayak parmaklarınız ve elleriniz yere değecek şekilde başlayın. İki büyük ayak parmağınız birbirine değmelidir.

Adımlar:

1. Dizlerinizi kalça genişliğinde açın.

2. Nefes verirken, pelvisinizi geriye doğru hareket ettirerek topuklarınızın üzerine oturun. Elleriniz hala yere değmelidir.

3. Üst vücudunuzu gevşetin, alnınızı yere indirin ve ellerinizin doğal olarak öne doğru hareket etmesine izin verin.

4. Bu pozisyonda kalın.

İpuçları:

* Pozisyondan çıkmak için, kollarınızı omuzlarınızın altına doğru geriye doğru yürütün ve üst vücudunuzu yukarı kaldırarak oturma pozisyonuna geçin."
Kettlebell deadlifts,Back,Kettlebell,"Başlangıç ​​pozisyonu:

Kalça genişliğinde ayakta durun, kettlebell'i ayak bileklerinizin ortasına yerleştirin. Sırtınız düz, başınız öne dönük olmalı.

Adımlar:

1. Kalçalarınızdan bükülün ve dizlerinizi hafifçe bükerek ellerinizi kettlebell'in saplarına yerleştirin. Hareketi yaparken sırtınız düz olmalıdır.

2. Kettlebell'in saplarını kavrayın, sanki sapı birbirinden ayırıyormuş gibi zıt yönlere doğru itin.

3. Karın ve kalça kaslarınızı kasarak dik durun.

4. Kettlebell'i tekrar aşağı indirmek için kalçalarınızdan tekrar bükülün, tıpkı 1. adımda olduğu gibi.
5. 3. adımdan itibaren tekrarlayın.

İpuçları:

* Hareketleri doğru şekilde yaptığınızdan emin olun, aksi takdirde sakatlanmaya yol açabilir. Örneğin, kalçalarınızdan bükülmek yerine çömelmeyin, kettlebell'e uzanırken sırtınızı yuvarlaklaştırmayın ve ayağa kalkarken geriye yaslanmayın."
Body-Ups,Arms,none (bodyweight exercise),"1. Yere plank pozisyonunda uzanın. Vücut ağırlığınızı ayak parmaklarınız ve ön kollarınız üzerinde desteklemeli, gövdenizi düz tutmalısınız. Ön kollarınız omuz genişliğinde açık olmalıdır. Bu sizin başlangıç ​​pozisyonunuz olacaktır.

2. Avuç içlerinizi yere sıkıca bastırarak, dirseklerinizi uzatarak vücudunuzu yerden kaldırın. Hareketi yaparken gövdenizi sabit tutun.

3. Dirseklerinizi bükerek ön kollarınızı yavaşça yere indirin.

4. Gerektiği kadar tekrarlayın."
Bent High Pulls,Shoulders,Dumbbell,İki dambıl tutarken hafifçe öne eğilin. Dirseklerinizi olabildiğince yukarıda tutarak dambılları göğsünüze doğru çekin.
Chin tuck,Back,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Sırtınız dik olacak şekilde oturun veya ayakta durun.

Adımlar:

1. Parmaklarınızı çenenize koyarak çenenizi yavaşça içeri çekin ve başınızı omurganızla aynı hizaya getirin.

2. 5 saniye bekleyin.

3. Başınızı normal pozisyona getirin ve tekrarlayın."
Head turns,Shoulders,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Sırtınız dik ve omuzlarınız aşağıda olacak şekilde oturun veya ayakta durun.

Adımlar:

1. Omuzlarınız aşağıda olacak şekilde dik oturun veya ayakta durun.

2. Başınızı olabildiğince yana çevirin. Bir engele çarptığınızda durun ve 5 saniye bekleyin.

3. Orta pozisyona dönün ve taraf değiştirerek tekrarlayın."
Back neck stretch,Back,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Bir sandalyeye veya sert bir yastığa dik oturun.

Adımlar:

1. Nefes verin ve başınızı öne doğru eğin, çenenizi göğsünüze yaklaştırın, ellerinizi başınızın arkasına koyun.

2. Ellerinizi kullanarak başınızı hafifçe aşağı çekin ve kuvveti dengelemek için başınızla ellerinize bastırın.

3. Bir süre bekleyin.

4. Kollarınızı ve başınızı gevşetin, omuzlarınızı biraz açın.

5. 2. adımdan itibaren bunu tekrarlayın."
Blaze,Cardio,"Bench, Dumbbell, Kettlebell, none (bodyweight exercise)","BLAZE, tüm vücudu çalıştıran bir HIIT antrenmanıdır. Kardiyo kondisyonunuzu ve gücünüzü en üst düzeye çıkarmak için tasarlanmıştır. Özel olarak inşa edilmiş stüdyosunda sunulan BLAZE, dövüş sanatları, yoğun kardiyo ve güç antrenmanının eşsiz bir karışımıdır."
Lat Pulldown (Wide Grip),Back,Vücut Ağırlığı,"### **Uygulama**

1. **Başlangıç ​​pozisyonu:**

* Kollarınızı başınızın üzerine uzatın, sırt kaslarınızda bir gerilme hissedin.

* Omuzlarınızı aşağıda tutun (yukarı doğru omuz silkmeyin).

2. **Çekme aşaması (konsantrik):**

* Dirseklerinizi aşağı ve geriye doğru iterek barı **üst göğüs veya köprücük kemiği bölgenize** kadar çekin.

* Göğsünüzü yukarıda tutun ve en alt noktada kürek kemiklerinizi birbirine yaklaştırın."
Alternating bicep curls,Arms,Dumbbell,"Başlangıç ​​pozisyonu:

Her iki elinizde birer dambıl olacak şekilde ayakta durun, sırtınız dik ve ayaklarınız kalça genişliğinde açık olsun. Kollarınız gevşek, aşağı doğru uzanmış olmalı. Dizleriniz hafifçe bükülmüş, karın kaslarınız kasılı ve omuzlarınız aşağıda olmalı.

Adımlar:

1. Bir kolunuzu dirseğinizden bükerek dambılı omzunuza kadar kaldırın. Bu hareket sırasında üst kolunuz hareketsiz kalmalıdır.

2. Kolunuz orijinal gevşek pozisyonuna gelene kadar dambılı tekrar aşağı indirin.

3. Kol değiştirerek tekrarlayın."
Head tilts,Back,none (bodyweight exercise),"Başlangıç ​​pozisyonu:

Sırtınız dik olacak şekilde oturun veya ayakta durun.

Adımlar:

1. Başınızı bir yana eğin ve bir süre bekleyin. 2. Başınızı nötr pozisyona geri getirin ve bir süre bekleyin.

2. Başınızı diğer yana eğin ve bir süre bekleyin.

3. Başınızı tekrar nötr pozisyona geri getirin ve bir süre bekleyin.

4. Tekrarlayın."
Nordic Curl,Legs,Vücut Ağırlığı,"Nordic hamstring curl, arka bacak kaslarını güçlendirmek, diz sağlığını iyileştirmek ve sakatlanmaları önlemek için en iyi alt vücut egzersizlerinden biridir."
Reverse Preacher Curl (Close Grip),Arms,SZ-Bar,Pazı sehpasına ters oturarak ve dar tutuşla egzersiz aletini kullanarak
SMITH MACHINE SLIGHT INCLINE PRESS,Chest,Vücut Ağırlığı,"Smith tezgahının altında, hafif eğimli bir şekilde yatıyor."
Chin-ups,Back,Pull-up bar,"Çene çekme (chin-up olarak da bilinir), bir kuvvet antrenmanı egzersizidir. İnsanlar bu egzersizi sıklıkla, sırasıyla omuzu uzatan latissimus dorsi ve dirseği büken biseps gibi kasları güçlendirmek amacıyla yaparlar. Bu manevrada avuç içleri vücuda dönüktür. Hareket aralığının kişinin çenesine göre belirlendiği bir çekme hareketidir."
Burpees,Chest,Vücut Ağırlığı,"Zıplayın, yüzüstü yere yatın, şınav çekin, sonra tekrar zıplayın, tekrarlayın."
Chest Press,Chest,Vücut Ağırlığı,Açıklama Bulunamadı!
Cross-Bench Dumbbell Pullovers,Chest,Dumbbell,"Orta ağırlıkta bir dambılı avuç içleriniz üst plakaların alt tarafına düz bir şekilde gelecek ve başparmaklarınız da dambılı kavrayacak şekilde tutun. Sırt üstü düz bir sehpaya uzanın, sadece sırtınızın üst kısmı ve omuzlarınız sehpaya temas etsin. Ayaklarınız omuz genişliğinde açık olmalı ve başınız hafifçe aşağı sarkmalıdır. Dambılı kollarınızı uzatarak göğsünüzün hemen üzerinde destekleyin, kollarınızı yaklaşık 15 derece bükün ve hareket boyunca bükülü tutun. Dambılı yavaşça geriye ve aşağıya doğru yarım daire şeklinde bir yay çizerek rahatça mümkün olan en alçak pozisyona indirin. Aynı yay boyunca yavaşça başlangıç ​​noktasına geri kaldırın ve gerekli tekrar sayısı kadar tekrarlayın."
Deadhang,Arms,Vücut Ağırlığı,İster ağırlık eklenerek ister eklenmeden bir kenar üzerinde yapılan asılı kalma hareketi (zorluğu ayarlamak için kenarı veya ağırlığı ayarlayın)
Cycling,Cardio,none (bodyweight exercise),"Bisiklet sürmek, ulaşım, eğlence, egzersiz veya spor amacıyla bisiklet kullanımını ifade eder. Bisiklet süren kişilere bisikletçi, bisiklet sürücüsü veya bisikletçi denir. İki tekerlekli bisikletlerin yanı sıra, tek tekerlekli bisikletler, üç tekerlekli bisikletler, dört tekerlekli bisikletler, yatay bisikletler ve benzeri insan gücüyle çalışan araçların sürülmesi de bisiklet sürmeyi kapsar."
Cable Woodchoppers,Abs,Vücut Ağırlığı,"Kablo makarasını göğüs hizasından biraz daha aşağıya ayarlayın. Kalçalarınız sabit kalacak şekilde vücudunuzu öne doğru tutun. Makaranın kolunu kavrayın, kollarınızı tamamen uzatın ve kollarınızı öne ve vücudunuzun karşısına doğru getirin. Hareketin sonunda 1 saniye bekleyin ve yavaşça başlangıç ​​pozisyonuna dönün."
Deadbug,Abs,Vücut Ağırlığı,"Sırt üstü yatın, kalçalarınızı ve dizlerinizi 90° bükün. Her iki kolunuzu da tavana doğru kaldırın. Belinizi yere doğru çekerek aradaki boşluğu kapatın. Bir bacağınızı öne doğru uzatarak ve topuğunuzu yere değdirerek başlayın. Dunham, ""Bir bacağınızı uzatırken, belinizi yere yapışık tutarak olabildiğince nefes verin"" diyor. Artık nefes veremediğinizde, dizinizi başlangıç ​​pozisyonuna geri çekin. Bunu daha zor hale getirmek için ellerinizde ağırlık tutabilir veya zıt kol ve bacağınızı aşağı indirebilirsiniz."
Chin Up,Back,Pull-up bar,"Çene çekme (chin-up olarak da bilinir), bir kuvvet antrenmanı egzersizidir. İnsanlar bu egzersizi sıklıkla, sırasıyla omuzu uzatan latissimus dorsi ve dirseği büken biseps gibi kasları güçlendirmek amacıyla yaparlar. Bu manevrada avuç içleri vücuda dönüktür. Hareket aralığının kişinin çenesine göre belirlendiği bir çekme hareketidir."
Facepull,Shoulders,Vücut Ağırlığı,"Göğüs hizasına ayarlanmış bir makara istasyonuna bir ip bağlayın.

Ağırlığı tamamen uzatılmış kollarınızla destekleyecek şekilde geriye doğru adım atın ve bir ayağınız önde olacak şekilde (bir ayağınız önde) kademeli bir duruş alın. Dengeli bir taban için dizlerinizi hafifçe bükün.

Kürek kemiklerinizi geriye doğru çekin (partnerinizin parmağını kürek kemiklerinizle sıkıştırın) ve ipin ortasını hafifçe yüzünüze doğru çekin. İyi bir ipucu, sadece geriye doğru çekmek değil, ipin uçlarını birbirinden ayırmayı düşünmektir.

Yüzünüze yaklaşırken, eklemleriniz tavana bakacak şekilde dışa doğru döndürün.

En üst pozisyonda bir saniye bekleyin ve yavaşça indirin."
Reverse EZ Bar Cable Curls,Arms,SZ-Bar,SZ Bar kullanarak kablo kulesinin önünde durmak
Machine chest fly,Chest,Vücut Ağırlığı,"Oturarak yapılan egzersiz makinesi, düz sırt, yavaş egzersiz."
Dumbbells on Scott Machine,Arms,Vücut Ağırlığı,Açıklama Bulunamadı!
Hyperextensions,Back,Vücut Ağırlığı,"Göbeğiniz ön kenarda olacak şekilde hiperekstansiyon yastığına uzanın, üst vücudunuzun serbestçe sarkmasına izin verin. Tüm sırt kaslarınızı sıkın ve gövdenizi yatay konuma gelene kadar kaldırın, ancak daha yukarı kaldırmayın. Kasların sürekli hareketini koruyarak kendinizi yavaşça indirin."
High Knee Jumps,Cardio,Vücut Ağırlığı,"-Bacaklarınızı omuz genişliğinden biraz daha açık açarak başlayın.

-Vücut ağırlığınızla çömelme pozisyonuna geçin.

-Çömelmenin en alt noktasına ulaştığınızda, aynı anda dizlerinizi göğsünüze doğru çekerek yukarı doğru sıçrayın. Sıçramanın en üst noktasına kadar dizlerinizi göğsünüze doğru bükük tutun.

-Her iki ayağınızın üzerine inin, eklemlerinize aşırı yük bindirmemek için dizlerinizin kilitli olmadığından emin olun. Bir sonraki tekrara olabildiğince hızlı ama kontrollü bir şekilde geçin."
Barbell Hip Thrust,Legs,Barbell,"Arkanıza bir bank koyarak yere oturun, dizlerinizi bükerek ayaklarınızı yere sabitleyin ve kalçalarınızın altında bir halter tutun. Eğer minderli bir halteriniz varsa veya halter ile vücudunuz arasına herhangi bir şey koyabiliyorsanız, egzersizi çok daha rahat hale getirecektir."
BUS DRIVERS,Shoulders,Vücut Ağırlığı,"Ağırlık plakasını tekerlek gibi kullanarak iki elinizle, göz hizasının biraz altında tutarak oturuyorsunuz."
Hand Grip,Arms,Vücut Ağırlığı,Önkol kaslarını geliştirmek için krom el esnetme aparatı
"Hip Raise, Lying",Back,none (bodyweight exercise),"Sırt üstü uzanın, ayaklarınız yere düz bassın. Kalçalarınızı eşit şekilde olabildiğince yukarı kaldırın ve yapabildiğiniz kadar uzun süre bu pozisyonda kalın."
Hercules Pillars,Arms,Vücut Ağırlığı,"Ortadan iki kabloyu kavrayın, her ikisine de gerilim uygulayın ve sabit tutun."
Hip Thrust,Legs,"Barbell, Bench","Barı doğrudan üst uyluğunuza, kasıklarınızın hemen altına yerleştirin. Ayaklarınız dizlerinizin hemen altında olmalı. Kalçalarınızı yukarı doğru iterek dizlerinizden omuzlarınıza kadar düz bir çizgi oluşturun. Rahatlık için bir minder kullanın."
High Pull,Shoulders,Vücut Ağırlığı,"Hafif bir halter kullanarak, diz kapağının altından başlayarak patlayıcı bir şekilde yukarı kaldırın. Kalçalarınızı kullanarak omuz hizasında patlayıcı bir şekilde kaldırın/yükseltin. Tempo: 2111"
Hollow Hold,Abs,"Gym mat, none (bodyweight exercise)","Bir matın üzerine sırt üstü uzanın. Karın kaslarınızı kasın, sırtınızı ve bacaklarınızı gerin ve yukarı kaldırın (başınız ve omuzlarınız da yukarı kalkmış olmalı). Belinizin alt kısmının matla temas halinde kalmasına dikkat edin."
Rope Pullover/row,Back,Incline bench,"Kablo çekme makinesinin önüne bir sehpa kurun. Sehpaya doğru eğilerek, sırt kaslarını hedefleyen bir ip yardımıyla kürek çekme/çekme hareketi yapın. Resme bakın."
Single arm row,Back,Incline bench,"Yere oturarak, tek tutuşla yüksek bir kablo kullanarak, sırt kaslarını uzun süre germeye odaklanarak lat pulldown hareketini yapın."
Barbell Clean and press,Shoulders,Dumbbell,"Bu egzersiz, bir halterin yerden omuzlara kaldırılmasını ve ardından baş üstüne doğru itilmesini içerir. Bacaklar, sırt, omuzlar ve kollar dahil olmak üzere birden fazla kas grubunu hedefleyen bileşik bir harekettir. Genellikle genel gücü ve atletik performansı artırmak için kuvvet ve kondisyon programlarında kullanılır."
Incline Dumbbell Row,Back,"Dumbbell, Incline bench","1. Nötr bir tutuşla eğimli bir sehpaya yaslanın.

2. Her iki elinize de nötr bir tutuşla birer dambıl alın, kollarınız düz olacak şekilde başlayın. Bu sizin başlangıç ​​pozisyonunuz olacak.

3. Omuz kürek kemiklerinizi geriye çekin ve dirseklerinizi bükerek dambılları yanınıza doğru çekin.

4. Hareketin en üst noktasında kısa bir süre bekleyin ve ardından başlangıç ​​pozisyonuna dönün."
Good Mornings,Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
Front Plate Raise,Shoulders,Vücut Ağırlığı,"Plaka ön kaldırma, halter ön kaldırmanın bir varyasyonudur; burada kaldırıcı, halter, barbel veya başka bir ağırlık yerine iki el arasında bir ağırlık plakası tutar. Omuz odaklı kas geliştirme antrenmanında veya üst vücut veya tüm vücut devre antrenmanının bir parçası olarak çeşitlilik sağlayabilir.

1. Dik dururken, her iki elinizle saat 3 ve 9 pozisyonlarında bir halter plakası tutun. Avuç içleriniz birbirine bakmalı ve kollarınız dirseklerinizde hafif bir bükülme ile uzatılmış ve kilitlenmiş olmalı ve plaka bel hizasında, önünüzde olabildiğince aşağıda olmalıdır. **İpucu**: Kollar egzersiz boyunca bu pozisyonda kalacaktır. Bu sizin başlangıç ​​pozisyonunuz olacaktır.

2. Nefes verirken plakayı yavaşça omuz seviyesinin biraz üzerine kadar kaldırın. Kasılmayı bir saniye tutun. Nefes alırken, plakayı yavaşça başlangıç ​​pozisyonuna indirin.

3. Önerilen tekrar sayısı kadar tekrarlayın."
